nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT00418574,abagovomab,ABAGOVOMAB,CHEMBL1742981,Antibody,PHASE_2_3,MUC16,1,Mucin-16 other,PHASE2/PHASE3,888,Ovarian Cancer,No benefit on primary end point (RFS); no rationale to collect survival data,Menarini Group
NCT00430677,abatacept,ABATACEPT,CHEMBL1201823,Protein,APPROVAL,CD80;CD86,2,T-lymphocyte activation antigen CD80 inhibitor; T-lymphocyte activation antigen CD86 inhibitor,PHASE2/PHASE3,423,Systemic Lupus Erythematosus,Terminated due to failure to meet the primary efficacy endpoint in the Short-term Period,Bristol-Myers Squibb
NCT00534313,abatacept,ABATACEPT,CHEMBL1201823,Protein,APPROVAL,CD80;CD86,2,T-lymphocyte activation antigen CD80 inhibitor; T-lymphocyte activation antigen CD86 inhibitor,PHASE2,191,Psoriatic Arthritis,Lack of efficacy with respect to skin-related lesions in the short-term phase,Bristol-Myers Squibb
NCT04393038,abx464,OBEFAZIMOD,CHEMBL4297344,Small molecule,PHASE_3,NCBP1;NCBP2,2,Cap binding complex modulator,PHASE2/PHASE3,509,COVID-19,Interim analysis concludes that the study is futile,Abivax S.A.
NCT00318474,acei,RAMIPRIL,CHEMBL1168,Small molecule,APPROVAL,ACE,1,Angiotensin-converting enzyme inhibitor,PHASE3,184,IgA Nephropathy,DSMB recommended stopping the trial because of lack of effect.,St. Joseph's Hospital and Medical Center
NCT01852110,achei,DONEPEZIL,CHEMBL502,Small molecule,APPROVAL,ACHE,1,Acetylcholinesterase inhibitor,PHASE2,240,Alzheimer's Disease,Stage 1 interim analysis of efficacy met the criteria for early trial termination (futility). The trial was terminated at Stage 1; did not proceed to Stage 2.,Merck Sharp & Dohme LLC
NCT00814372,actos,PIOGLITAZONE HYDROCHLORIDE,CHEMBL1715,Small molecule,APPROVAL,PPARG,1,Peroxisome proliferator-activated receptor gamma agonist,PHASE2,242,Type 2 Diabetes Mellitus,MBX-102 did not meet the target efficacy profile of HbA1c change.,Gilead Sciences
NCT00612521,adenosine,ADENOSINE,CHEMBL477,Small molecule,APPROVAL,ADORA1;ADORA2A;ADORA2B;ADORA3,4,Adenosine receptor agonist,PHASE3,200,Coronary Artery Stenosis|Coronary Artery Disease,"At half the sample size, the results were negative with no benefit demonstrated with adenosine.",Ottawa Heart Institute Research Corporat
NCT02477800,aducanumab,ADUCANUMAB,CHEMBL3039540,Antibody,APPROVAL,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,1653,Alzheimer's Disease,Study was discontinued based on futility analysis done and not based on safety concerns. Follow-up visits and closing out study activities are completed,Biogen
NCT02484547,aducanumab,ADUCANUMAB,CHEMBL3039540,Antibody,APPROVAL,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,1643,Alzheimer's Disease,Study was discontinued based on futility analysis done and not based on safety concerns. Follow-up visits and closing out study activities are completed,Biogen
NCT04611152,aflibercept,AFLIBERCEPT,CHEMBL1742982,Protein,APPROVAL,PGF;VEGFA,2,Placenta growth factor inhibitor; Vascular endothelial growth factor A inhibitor,PHASE3,460,Diabetic Macular Edema,Study did not meet primary endpoint,Kodiak Sciences Inc
NCT04603937,aflibercept,AFLIBERCEPT,CHEMBL1742982,Protein,APPROVAL,PGF;VEGFA,2,Placenta growth factor inhibitor; Vascular endothelial growth factor A inhibitor,PHASE3,459,Diabetic Macular Edema,Study did not meet primary endpoint,Kodiak Sciences Inc
NCT04049266,aflibercept,AFLIBERCEPT,CHEMBL1742982,Protein,APPROVAL,PGF;VEGFA,2,Placenta growth factor inhibitor; Vascular endothelial growth factor A inhibitor,PHASE2/PHASE3,559,Wet Macular Degeneration,Primary Endpoint Not Met,Kodiak Sciences Inc
