symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn
MUC5AC,ENSG00000215182,1.0622766088513609,0.9309244543799968,4.474212675253393e-50,-9.737246489753892,158.0,169.7237614251194,4359,3089.8882138259237,1975,1236.9946090566175
MUC16,ENSG00000181143,0.8099446641092592,0.7581311336976987,2.2477254812521698e-155,-8.211260320935963,625.0,824.3956384585254,19911,17373.28349888556,7330,6661.973394748009
DRD4,ENSG00000069696,1.6299264875973367,1.1746694306580123,1.0280908139937256e-10,-4.75889174564733,26.0,22.133886624967868,913,632.396605574334,455,306.7300884356564
ADRA1A,ENSG00000120907,1.4141233759876264,1.047808498390128,1.2759670700031432e-11,-0.3118355792913164,31.0,29.58555885701343,619,601.0740580003005,311,254.30354920847145
HTR3D,ENSG00000186090,1.309823818432409,1.0271333456892175,6.525863692060873e-17,1.1156479093569338,47.0,45.75842094627207,448,506.8950090835803,203,199.8429337462288
P2RX7,ENSG00000089041,1.070275568441513,0.86629234545434,1.058245320117435e-18,0.9739478616775388,62.0,71.56937300130843,686,748.4765646657347,299,283.3130715940073
MTNR1B,ENSG00000134640,1.8810563779635867,1.001466434167114,0.0022660547945759,0.1649181837949082,7.0,6.989749991792451,478,486.52933928424665,226,208.20289418925057
OPRM1,ENSG00000112038,1.170970418800297,0.8491181093312046,1.2938485120585771e-08,-0.470390462671226,27.0,31.797696578708177,536,511.0661470179416,196,189.9070257838717
MTNR1A,ENSG00000168412,2.3959913824108696,1.2756156456277126,0.0009265121453134,0.4620767261255031,7.0,5.487546365547593,441,464.34681597337374,196,202.72879655082673
HRH4,ENSG00000134489,1.870907163546231,1.1547283479663906,2.050569085435483e-05,0.7670957890396566,12.0,10.392054565156714,415,453.2941086933552,154,166.6404892428257
MYH7B,ENSG00000078814,0.9816488064482036,0.8743290163300107,4.8496918675177484e-60,-0.154335884063458,205.0,234.46551146213343,2652,2633.429649359959,1193,1104.9616808385656
S1PR3,ENSG00000213694,1.4588782418757773,0.9004231182333066,0.0001201796545671,0.987226913186252,12.0,13.32706786065738,450,501.8559827017402,232,214.04445205784648
MAPT,ENSG00000186868,0.6663140018008595,0.5004831416432065,0.0002097821928818,2.991546913602262,34.0,67.93435616706253,881,1115.2467840607414,456,464.4551123342305
MASP2,ENSG00000009724,1.0892887124836723,0.8585208253341645,6.9750395156799586e-15,-0.3631499168161304,49.0,57.07491135224075,900,874.815318197179,379,340.7872734666962
ADORA3,ENSG00000282608,1.354961828890992,0.5242540048078134,0.1662564566355973,0.9946422096436752,3.0,5.722416943862493,343,388.9973189974113,168,152.32820652436394
HTR3C,ENSG00000178084,1.061724605218599,0.7904431791594014,2.438400652766515e-09,0.6115983024753927,32.0,40.483618359551755,523,556.8394743569396,209,217.05022778356425
HTR3B,ENSG00000149305,1.323180797507873,1.0291186722519332,6.603480547670085e-16,0.1744161505512032,44.0,42.75503028598104,527,536.4722391306476,203,209.03509615529472
CETP,ENSG00000087237,1.051557707214276,0.8417224971430707,1.5749578380294284e-16,-0.0414388136446097,56.0,66.53024029899663,612,609.6010428335268,251,245.6561031900254
CALCA,ENSG00000110680,1.3274459943439068,0.5800811646235369,0.0949807134224893,0.138147116047296,4.0,6.895586762579913,174,178.32554598944674,78,69.9960414133157
HTR3E,ENSG00000186038,1.310189340383442,0.9995729896887514,1.6419859300426365e-13,0.6734052850397387,38.0,38.01623332362402,547,585.196149093316,210,232.88838304831015
S1PR4,ENSG00000125910,11.75701337733624,2.4783619624375306,0.1222047393236077,-0.6713400535605777,1.0,0.4034923127275868,595,557.8222746616224,296,266.70072876025756
GRIN3A,ENSG00000198785,0.6485120022124734,0.5085480147622498,5.028004863213447e-06,0.7898461949273515,47.0,92.41998520429358,1324,1393.1241445060605,527,540.5834906991504
IL4R,ENSG00000077238,0.6146853218068525,0.4098025876374372,0.3075812364711418,0.9120263509409776,17.0,41.48338861891309,974,1043.064570128129,402,422.8650819501234
ADRB2,ENSG00000169252,0.908359556794486,0.5899171669127411,0.001663633982165,1.900235237373049,15.0,25.42729868076336,425,527.3138131655724,225,208.99602221351464
