symbol,gene_id,status,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,trials,n_trials
BCL2,ENSG00000171791,ok,0.3329581301585409,0.07018710776156434,0.9946376486444674,1.4355136171327696,1.0,14.24763082412718,247,305.86610825359185,151,137.20160431064144,1083,6,0,0,0.0,VENETOCLAX (NCT05079230),1
BIRC2,ENSG00000110330,ok,0.4384876768200654,0.2957008130466774,0.9995180759473261,0.43378210986950805,18.0,60.87233854564558,701,728.4513845057288,282,247.69728248661133,2295,2,1,0,0.0479,BIRINAPANT (NCT02147873),1
BIRC3,ENSG00000023445,ok,0.6119890107998445,0.4410535004832743,0.041592227033176894,1.1274294803703313,26.0,58.949764533126014,641,711.5136736987453,243,249.22736843875703,2453,11,0,0,0.0,BIRINAPANT (NCT02147873),1
CASR,ENSG00000036828,ok,0.47143709630272884,0.332758179698838,0.9963811589331665,5.004075683823525,23.0,69.11926258526867,924,1356.0737163302024,541,544.7196636385311,2620,8,3,0,0.2814,RONACALERET (NCT00471237),1
CD47,ENSG00000196776,ok,0.40812943399629664,0.24656983441528543,0.9997000633464087,1.750420374793286,11.0,44.61210766550316,306,386.7100090217406,140,136.32425473345785,3406,0,0,0,0.0,MAGROLIMAB (NCT04313881); MAGROLIMAB (NCT05079230),2
CHRM1,ENSG00000168539,ok,0.3323158479567612,0.15804943617206216,0.9998763164597866,4.701320048793311,5.0,31.63567122477234,338,610.3292088084687,227,249.7165481774939,852,5,0,0,0.0,MK-7622 (NCT01852110),1
CSF3R,ENSG00000119535,ok,0.7760841839984522,0.6159799807906741,2.0092027507465458e-10,2.1748760805683562,52.0,84.41832790288512,890,1055.6894834905445,384,429.1462950936643,3488,8,2,0,0.0445,FILGRASTIM (NCT01012297); PEGFILGRASTIM (NCT01012297),2
DHFR,ENSG00000228716,ok,0.7331005468608124,0.44289988761473625,0.1461903078300137,2.2732268742616797,11.0,24.83631246609963,142,221.2894634811182,49,74.42987663715309,1300,3,0,0,0.0,METHOTREXATE (NCT01230827); METHOTREXATE (NCT00005047); PEMETREXED (NCT05226598),3
ERBB2,ENSG00000141736,ok,0.5065434293783412,0.40928890438099985,0.24524237761987883,4.718088493435104,61.0,149.03897796168002,1205,1655.053844142101,633,678.7458333879998,7109,8,3,0,0.6982,SAPITINIB (NCT01151215),1
ERBB3,ENSG00000065361,ok,0.7257632547407283,0.6125218831794615,3.3816835522893137e-18,3.1301358321331394,96.0,156.72909431690158,1406,1709.4473724171369,567,631.9631033631713,6292,14,3,0,0.2007,SAPITINIB (NCT01151215),1
ESR1,ENSG00000091831,ok,0.368724764118244,0.22757780076992884,0.9999821805789268,2.9895287808605135,12.0,52.72922033433073,584,779.7350477528654,305,316.76932788982987,2777,12,0,0,0.0,TOREMIFENE (NCT00097344); TOREMIFENE (NCT00267553),2
GART,ENSG00000159131,ok,0.5172355366119287,0.40110962340547107,0.5208979560169558,1.2212411975341244,43.0,107.20261367684125,1107,1206.4604263381163,434,426.9850630708829,5801,30,2,0,0.4362,PEMETREXED (NCT05226598),1
HTR2C,ENSG00000147246,ok,0.49945883935674523,0.2375426523797842,0.9761498259821881,2.2180581926306737,5.0,21.048851437450395,271,371.20040751105205,150,145.26354086231873,1320,4,1,0,0.1607,QUETIAPINE (NCT00658645); QUETIAPINE (NCT00704509),2
IMPDH1,ENSG00000106348,ok,0.7237034032233157,0.5577683929871876,6.305031130791036e-07,2.670079407299512,41.0,73.507212878127,645,824.80053233189,318,334.3417116632857,4483,11,0,0,0.0,MYCOPHENOLATE MOFETIL (NCT00430677); MYCOPHENOLATE MOFETIL (NCT00318474),2
IMPDH2,ENSG00000178035,ok,0.7632724059046239,0.5708315573089033,4.573606591951081e-06,3.5408586321185926,33.0,57.81039884265223,446,659.1545132250319,270,241.3104788282763,2857,3,0,0,0.0,MYCOPHENOLATE MOFETIL (NCT00430677); MYCOPHENOLATE MOFETIL (NCT00318474),2
JAK3,ENSG00000105639,ok,0.8698544956433842,0.7285705613878288,1.0028722955716938e-21,2.7234530441495757,88.0,120.78445748943224,1254,1501.4377059440947,592,628.6111377217629,7302,31,0,0,0.0,RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),2
