symbol,gene_id,LOEUF,pLI,mis_z,exp_lof,obs_lof,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,tolerance,burden,score,rank,trials,n_trials
MUC5AC,ENSG00000215182,1.0622766088513609,4.474212675253393e-50,-9.737246489753892,169.7237614251194,158.0,30794.0,212.0,87.0,2.0,10.7847,0.5311383044256804,0.9113884281752019,0.484,1,CLIVATUZUMAB TETRAXETAN (NCT01956812),1
MUC16,ENSG00000181143,0.8099446641092592,2.2477254812521698e-155,-8.211260320935963,824.3956384585254,625.0,49618.0,349.0,135.0,0.0,23.321,0.4049723320546296,1.0,0.405,2,ABAGOVOMAB (NCT00418574),1
DRD4,ENSG00000069696,1.6299264875973367,1.0280908139937256e-10,-4.75889174564733,22.133886624967868,26.0,4298.0,18.0,8.0,1.0,0.6443,0.8149632437986684,0.44725807703608195,0.364,3,HALOPERIDOL (NCT03628391),1
ADRA1A,ENSG00000120907,1.4141233759876264,1.2759670700031432e-11,-0.3118355792913164,29.58555885701343,31.0,2805.0,21.0,7.0,0.0,0.8042,0.7070616879938132,0.4232826424908286,0.299,4,TAMSULOSIN (NCT02518971),1
HTR3D,ENSG00000186090,1.309823818432409,6.525863692060873e-17,1.1156479093569338,45.75842094627207,47.0,2315.0,19.0,7.0,2.0,1.5787,0.6549119092162045,0.4232826424908286,0.277,5,RENZAPRIDE (NCT00607971),1
P2RX7,ENSG00000089041,1.070275568441513,1.058245320117435e-18,0.9739478616775388,71.56937300130843,62.0,3667.0,31.0,11.0,0.0,1.6516,0.5351377842207565,0.5058174668452601,0.271,6,CE-224535 (NCT00418782),1
MTNR1B,ENSG00000134640,1.8810563779635867,0.0022660547945759,0.1649181837949082,6.989749991792451,7.0,1666.0,5.0,3.0,0.0,0.5481,0.9405281889817934,0.2821884283272191,0.265,7,PIROMELATINE (NCT05267535),1
OPRM1,ENSG00000112038,1.170970418800297,1.2938485120585771e-08,-0.470390462671226,31.797696578708177,27.0,3753.0,21.0,6.0,2.0,0.7192,0.5854852094001485,0.39610153660605896,0.232,8,BUPRENORPHINE (NCT00270257),1
MTNR1A,ENSG00000168412,2.3959913824108696,0.0009265121453134,0.4620767261255031,5.487546365547593,7.0,1298.0,5.0,2.0,0.0,0.0324,1.0,0.22362903851804097,0.224,9,PIROMELATINE (NCT05267535),1
HRH4,ENSG00000134489,1.870907163546231,2.050569085435483e-05,0.7670957890396566,10.392054565156714,12.0,1219.0,2.0,2.0,0.0,0.1706,0.9354535817731156,0.22362903851804097,0.209,10,ADRIFORANT (NCT03517566),1
MYH7B,ENSG00000078814,0.9816488064482036,4.8496918675177484e-60,-0.154335884063458,234.46551146213343,205.0,12937.0,43.0,6.0,0.0,0.3529,0.4908244032241018,0.39610153660605896,0.194,11,MAVACAMTEN (NCT05582395),1
S1PR3,ENSG00000213694,1.4588782418757773,0.0001201796545671,0.987226913186252,13.32706786065738,12.0,2281.0,4.0,2.0,0.0,0.0558,0.7294391209378887,0.22362903851804097,0.163,12,FINGOLIMOD HYDROCHLORIDE (NCT00731692),1
MAPT,ENSG00000186868,0.6663140018008595,0.0002097821928818,2.991546913602262,67.93435616706253,34.0,4918.0,36.0,9.0,0.0,1.2849,0.33315700090042977,0.468704834056149,0.156,13,GOSURANEMAB (NCT03352557); POSDINEMAB (NCT04619420); TILAVONEMAB (NCT03712787),3
MASP2,ENSG00000009724,1.0892887124836723,6.9750395156799586e-15,-0.3631499168161304,57.07491135224075,49.0,3999.0,8.0,3.0,0.0,0.2859,0.5446443562418362,0.2821884283272191,0.154,14,NARSOPLIMAB (NCT03608033),1
ADORA3,ENSG00000282608,1.354961828890992,0.1662564566355973,0.9946422096436752,5.722416943862493,3.0,929.0,5.0,2.0,0.0,0.1371,0.677480914445496,0.22362903851804097,0.152,15,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2
HTR3C,ENSG00000178084,1.061724605218599,2.438400652766515e-09,0.6115983024753927,40.483618359551755,32.0,2219.0,8.0,3.0,0.0,0.9092,0.5308623026092995,0.2821884283272191,0.15,16,RENZAPRIDE (NCT00607971),1
HTR3B,ENSG00000149305,1.323180797507873,6.603480547670085e-16,0.1744161505512032,42.75503028598104,44.0,2293.0,10.0,2.0,0.0,0.3618,0.6615903987539365,0.22362903851804097,0.148,17,RENZAPRIDE (NCT00607971),1
CETP,ENSG00000087237,1.051557707214276,1.5749578380294284e-16,-0.0414388136446097,66.53024029899663,56.0,3369.0,12.0,3.0,0.0,0.4342,0.525778853607138,0.2821884283272191,0.148,18,EVACETRAPIB (NCT01687998); EVACETRAPIB (NCT02260648),2
CALCA,ENSG00000110680,1.3274459943439068,0.0949807134224893,0.138147116047296,6.895586762579913,4.0,952.0,5.0,2.0,0.0,0.0338,0.6637229971719534,0.22362903851804097,0.148,19,FREMANEZUMAB (NCT02945046); FREMANEZUMAB (NCT03107052),2
HTR3E,ENSG00000186038,1.310189340383442,1.6419859300426365e-13,0.6734052850397387,38.01623332362402,38.0,2453.0,12.0,2.0,1.0,0.4683,0.655094670191721,0.22362903851804097,0.146,20,RENZAPRIDE (NCT00607971),1
S1PR4,ENSG00000125910,11.75701337733624,0.1222047393236077,-0.6713400535605777,0.4034923127275868,1.0,1611.0,3.0,1.0,0.0,0.0118,1.0,0.14109421416360954,0.141,21,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2
GRIN3A,ENSG00000198785,0.6485120022124734,5.028004863213447e-06,0.7898461949273515,92.41998520429358,47.0,3790.0,20.0,7.0,0.0,1.1299,0.3242560011062367,0.4232826424908286,0.137,22,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
IL4R,ENSG00000077238,0.6146853218068525,0.3075812364711418,0.9120263509409776,41.48338861891309,17.0,4283.0,22.0,8.0,0.0,1.2224,0.30734266090342627,0.44725807703608195,0.137,23,DUPILUMAB (NCT03736967); DUPILUMAB (NCT04791319),2
ADRB2,ENSG00000169252,0.908359556794486,0.001663633982165,1.900235237373049,25.42729868076336,15.0,1171.0,13.0,3.0,0.0,0.7913,0.454179778397243,0.2821884283272191,0.128,24,ALBUTEROL SULFATE (NCT00434993),1
IL17RA,ENSG00000177663,0.897923221802442,3.3004012501368535e-08,-1.324104377550649,50.4114512447697,34.0,4871.0,14.0,3.0,0.0,0.3826,0.448961610901221,0.2821884283272191,0.127,25,BRODALUMAB (NCT01902290),1
ACE,ENSG00000159640,0.8736380337442785,7.628967825190318e-31,-0.6541346462981114,162.30164607995275,122.0,11435.0,28.0,3.0,1.0,0.067,0.43681901687213925,0.2821884283272191,0.123,26,RAMIPRIL (NCT00318474),1
ADRA1D,ENSG00000171873,1.6934255435095007,2.9949909509566204e-09,0.0108841454015918,18.551043077216836,22.0,2846.0,5.0,1.0,0.0,0.2553,0.8467127717547503,0.14109421416360954,0.119,27,TAMSULOSIN (NCT02518971),1
MYH6,ENSG00000197616,0.6545288558678166,8.873172428211332e-20,4.203836840437979,223.19478769191247,126.0,10129.0,52.0,5.0,0.0,0.5795,0.3272644279339083,0.36472325268165046,0.119,28,MAVACAMTEN (NCT05582395),1
PTGS1,ENSG00000095303,0.8262494686943145,1.1441435074558526e-08,1.1784113232006213,63.01894414216066,40.0,2938.0,12.0,3.0,0.0,0.1612,0.41312473434715724,0.2821884283272191,0.117,29,INDOMETHACIN (NCT01774604); LORNOXICAM (NCT02626455); MESALAMINE (NCT01038739); NAPROXEN (NCT00418782),4
MYL7,ENSG00000106631,1.6576516014254956,2.906365758375902e-11,0.5047432353782316,22.461995058331446,27.0,1774.0,4.0,1.0,0.0,0.0622,0.8288258007127478,0.14109421416360954,0.117,30,MAVACAMTEN (NCT05582395),1
GRIN2C,ENSG00000161509,1.0139971653990307,2.4838332910056287e-18,-0.6971386624848904,77.71714187231791,64.0,7729.0,13.0,2.0,0.0,0.4085,0.5069985826995154,0.22362903851804097,0.113,31,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3
LTA,ENSG00000226979,0.7824824426617382,0.38027653978416,2.0646427437317105,15.134391529778616,6.0,855.0,7.0,3.0,0.0,0.6726,0.3912412213308691,0.2821884283272191,0.11,32,BAMINERCEPT (NCT00458861),1
CYP19A1,ENSG00000137869,0.9679695772818246,1.868334087451208e-08,0.6712577165322224,44.40475685332528,32.0,2852.0,10.0,2.0,0.0,0.085,0.4839847886409123,0.22362903851804097,0.108,33,ANASTROZOLE (NCT01151215); LETROZOLE (NCT00097344); LETROZOLE (NCT00267553),3
ESR2,ENSG00000140009,0.958813332697579,1.8378590598779322e-09,-0.3397191638434963,49.58288721420661,36.0,3400.0,11.0,2.0,0.0,0.2574,0.4794066663487895,0.22362903851804097,0.107,34,ERTEBEREL (NCT01097707); TOREMIFENE (NCT00097344); TOREMIFENE (NCT00267553),3
