symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,score_v0,rank_v0,trials,n_trials,rate_syn,rate_mis,oe_syn,qc_syn_excess,tolerance,burden_v1,score_v1,rank_v1
HTR3D,ENSG00000186090,1.309823818432409,1.0271333456892175,6.525863692060873e-17,1.1156479093569338,47.0,45.75842094627207,448,506.8950090835803,203,199.8429337462288,2315.0,19.0,7.0,2.0,1.5787,0.277,5,RENZAPRIDE (NCT00607971),1,0.03502750819745758,0.013809565836237683,1.0157977377262697,False,0.6549119092162045,0.4980326299878333,0.3262,1
P2RX7,ENSG00000089041,1.070275568441513,0.86629234545434,1.058245320117435e-18,0.9739478616775388,62.0,71.56937300130843,686,748.4765646657347,299,283.3130715940073,3667.0,31.0,11.0,0.0,1.6516,0.271,6,CE-224535 (NCT00418782),1,0.03882630595937768,0.014696518928301431,1.055369589259448,False,0.5351377842207565,0.5520451857624484,0.2954,2
ADRA1A,ENSG00000120907,1.4141233759876264,1.047808498390128,1.2759670700031432e-11,-0.3118355792913164,31.0,29.58555885701343,619,601.0740580003005,311,254.30354920847145,2805.0,21.0,7.0,0.0,0.8042,0.299,4,TAMSULOSIN (NCT02518971),1,0.02752615927613964,0.011645819523950409,1.222947933554204,False,0.7070616879938132,0.3913759842829717,0.2767,3
CALCA,ENSG00000110680,1.3274459943439068,0.5800811646235369,0.0949807134224893,0.138147116047296,4.0,6.895586762579913,174,178.32554598944674,78,69.9960414133157,952.0,5.0,2.0,0.0,0.0338,0.148,19,FREMANEZUMAB (NCT02945046); FREMANEZUMAB (NCT03107052),2,0.028573044412473447,0.01121544301969141,1.1143487320864645,False,0.6637229971719534,0.40626094140879265,0.2696,4
OPRM1,ENSG00000112038,1.170970418800297,0.8491181093312046,1.2938485120585771e-08,-0.470390462671226,27.0,31.797696578708177,536,511.0661470179416,196,189.9070257838717,3753.0,21.0,6.0,2.0,0.7192,0.232,8,BUPRENORPHINE (NCT00270257),1,0.031594407712058244,0.01174016325481516,1.0320839852605694,False,0.5854852094001485,0.4492196783465847,0.263,5
MTNR1B,ENSG00000134640,1.8810563779635867,1.001466434167114,0.0022660547945759,0.1649181837949082,7.0,6.989749991792451,478,486.52933928424665,226,208.20289418925057,1666.0,5.0,3.0,0.0,0.5481,0.265,7,PIROMELATINE (NCT05267535),1,0.014409021602135292,0.00616612351562071,1.0854796273608587,False,0.9405281889817934,0.20487220739795062,0.1927,6
HRH4,ENSG00000134489,1.870907163546231,1.1547283479663906,2.050569085435483e-05,0.7670957890396566,12.0,10.392054565156714,415,453.2941086933552,154,166.6404892428257,1219.0,2.0,2.0,0.0,0.1706,0.209,10,ADRIFORANT (NCT03517566),1,0.0120018850705943,0.004412146466595625,0.9241451504357612,False,0.9354535817731156,0.1706467486303707,0.1596,7
LTA,ENSG00000226979,0.7824824426617382,0.3964480493447209,0.38027653978416,2.0646427437317105,6.0,15.134391529778616,173,249.4607088188049,87,107.28468665603648,855.0,7.0,3.0,0.0,0.6726,0.11,32,BAMINERCEPT (NCT00458861),1,0.02796298421990313,0.01202594193773033,0.8109265423771908,False,0.3912412213308691,0.3975869049787981,0.1556,8
MTNR1A,ENSG00000168412,2.3959913824108696,1.2756156456277126,0.0009265121453134,0.4620767261255031,7.0,5.487546365547593,441,464.34681597337374,196,202.72879655082673,1298.0,5.0,2.0,0.0,0.0324,0.224,9,PIROMELATINE (NCT05267535),1,0.009865396697595322,0.004307125474323663,0.9668088763643415,False,1.0,0.14026945438080887,0.1403,9
MYL7,ENSG00000106631,1.6576516014254956,1.2020303597202222,2.906365758375902e-11,0.5047432353782316,27.0,22.461995058331446,209,226.8240925195016,81,84.37625075716515,1774.0,4.0,1.0,0.0,0.0622,0.117,30,MAVACAMTEN (NCT05582395),1,0.011851676165109539,0.004408702747985306,0.9599857693738727,False,0.8288258007127478,0.16851102901753226,0.1397,10
ADORA3,ENSG00000282608,1.354961828890992,0.5242540048078134,0.1662564566355973,0.9946422096436752,3.0,5.722416943862493,343,388.9973189974113,168,152.32820652436394,929.0,5.0,2.0,0.0,0.1371,0.152,15,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2,0.01312954472210708,0.005141423609691535,1.1028817566569948,False,0.677480914445496,0.18668018437487613,0.1265,11
MUC16,ENSG00000181143,0.8099446641092592,0.7581311336976987,2.2477254812521698e-155,-8.211260320935963,625.0,824.3956384585254,19911,17373.28349888556,7330,6661.973394748009,49618.0,349.0,135.0,0.0,23.321,0.405,2,ABAGOVOMAB (NCT00418574),1,0.020264265856484467,0.0077705518365978315,1.1002745831706011,False,0.4049723320546296,0.2881239956432341,0.1167,12
HTR3C,ENSG00000178084,1.061724605218599,0.7904431791594014,2.438400652766515e-09,0.6115983024753927,32.0,40.483618359551755,523,556.8394743569396,209,217.05022778356425,2219.0,8.0,3.0,0.0,0.9092,0.15,16,RENZAPRIDE (NCT00607971),1,0.013821685563912455,0.005387549083987839,0.9629107609525677,False,0.5308623026092995,0.19652127046707335,0.1043,13
AR,ENSG00000169083,0.2678959772318074,0.1484738362302068,0.9999999258965238,1.6192595365726652,8.0,53.88154710029921,639,742.453047918048,359,316.3942028570656,3156.0,20.0,17.0,0.0,0.6377,0.079,48,GALETERONE (NCT01709734); OXANDROLONE (NCT00101361); TESTOSTERONE (NCT02418572),3,0.05373044084401233,0.0228970707948073,1.1346604860588487,False,0.1339479886159037,0.7639570766238937,0.1023,14
S1PR3,ENSG00000213694,1.4588782418757773,0.9004231182333066,0.0001201796545671,0.987226913186252,12.0,13.32706786065738,450,501.8559827017402,232,214.04445205784648,2281.0,4.0,2.0,0.0,0.0558,0.163,12,FINGOLIMOD HYDROCHLORIDE (NCT00731692),1,0.009343853488244073,0.003985207049307265,1.0838870046363125,False,0.7294391209378887,0.13285398152612402,0.0969,15
AVPR2,ENSG00000126895,0.6443696824771261,0.249315795775491,0.8385899889561417,1.5760230906919257,3.0,12.032931931442889,279,347.92869034280693,143,147.5196102242002,1133.0,3.0,3.0,0.0,0.4264,0.091,41,TOLVAPTAN (NCT01227512),1,0.020336279328833654,0.008622456506947335,0.9693626480077374,False,0.32218484123856306,0.2891479068739857,0.0932,16
ADRB2,ENSG00000169252,0.908359556794486,0.5899171669127411,0.001663633982165,1.900235237373049,15.0,25.42729868076336,425,527.3138131655724,225,208.99602221351464,1171.0,13.0,3.0,0.0,0.7913,0.128,24,ALBUTEROL SULFATE (NCT00434993),1,0.014354340184212397,0.005689211860372836,1.0765755138159299,False,0.454179778397243,0.2040947290165001,0.0927,17
MAPT,ENSG00000186868,0.6663140018008595,0.5004831416432065,0.0002097821928818,2.991546913602262,34.0,67.93435616706253,881,1115.2467840607414,456,464.4551123342305,4918.0,36.0,9.0,0.0,1.2849,0.156,13,GOSURANEMAB (NCT03352557); POSDINEMAB (NCT04619420); TILAVONEMAB (NCT03712787),3,0.0193775453450568,0.008069962746030047,0.9817956308162111,False,0.33315700090042977,0.2755163118228208,0.0918,18
CETP,ENSG00000087237,1.051557707214276,0.8417224971430707,1.5749578380294284e-16,-0.0414388136446097,56.0,66.53024029899663,612,609.6010428335268,251,245.6561031900254,3369.0,12.0,3.0,0.0,0.4342,0.148,18,EVACETRAPIB (NCT01687998); EVACETRAPIB (NCT02260648),2,0.012212194042984445,0.004921251423809091,1.0217535682630319,False,0.525778853607138,0.17363699075775973,0.0913,19
HTR3B,ENSG00000149305,1.323180797507873,1.0291186722519332,6.603480547670085e-16,0.1744161505512032,44.0,42.75503028598104,527,536.4722391306476,203,209.03509615529472,2293.0,10.0,2.0,0.0,0.3618,0.148,17,RENZAPRIDE (NCT00607971),1,0.009567771330198904,0.0037280587029833953,0.9711287900151887,False,0.6615903987539365,0.13603771903612077,0.09,20
