symbol,n_variants,n_common,n_common_func,n_common_damaging,n_common_lof,cum_maf_damaging,top_damaging,gene_id,LOEUF,pLI,mis_z
AAMP,2283,3,0,0,0,0.0,,ENSG00000127837,0.38061015298651885,0.9999594751814477,2.5150732864808965
ADAM10,4252,14,1,0,0,0.0,,ENSG00000137845,0.28286288682096794,0.9999999999360026,4.292242176528442
ADAM12,5735,26,3,0,0,0.0,,ENSG00000148848,0.8029665617078553,2.9333503780508964e-15,2.0168402613744565
ADAM17,4567,19,2,0,0,0.0,,ENSG00000151694,0.5266840554912883,0.4401181263282215,3.1649809756605807
AREG,1290,12,1,0,0,0.0,,ENSG00000109321,0.8681680477175079,0.001769486011672514,0.5349047953849658
ARHGEF7,6652,18,0,0,0,0.0,,ENSG00000102606,0.40194670848653724,0.9999988056912966,2.0658022650348182
BTC,1236,4,2,0,0,0.0,,ENSG00000174808,1.1412407214143063,0.000461323831354362,-0.6489086708573648
CBL,4970,11,0,0,0,0.0,,ENSG00000110395,0.595418533066813,0.0005461174283356598,1.507267881879936
CDC42,1511,6,0,0,0,0.0,,ENSG00000070831,0.2278310196234264,0.9997982852574508,5.055016453406591
CSK,2319,8,0,0,0,0.0,,ENSG00000103653,0.21106944915853149,0.9999999996732846,5.500918261694416
EGF,4836,21,5,1,1,0.017,4-110011233-G-GC,ENSG00000138798,0.7835851428307582,1.802447913497544e-20,1.6784949014755692
EGFR,6551,25,1,0,0,0.0,,ENSG00000146648,0.504692914125459,0.38906934457929465,2.919355815974126
EPGN,1082,0,0,0,0,0.0,,ENSG00000182585,1.4604378360522885,5.3855980455841504e-08,-0.5817240295697923
EPN1,5026,8,4,0,0,0.0,,ENSG00000063245,0.6133588396293401,0.05115772085675328,0.5754725915768267
EPS15,6328,20,2,0,0,0.0,,ENSG00000085832,0.7699925925822751,1.0148871531539408e-14,-0.02964038513955676
EPS15L1,6014,12,0,0,0,0.0,,ENSG00000127527,0.47338558677815673,0.9935603901761798,2.287451223530703
EREG,1303,3,1,0,0,0.0,,ENSG00000124882,1.455686871751244,9.659336411767308e-09,-0.5970299711990058
GAB1,3710,5,2,0,0,0.0,,ENSG00000109458,0.41917632241334263,0.9999013002045165,1.8409765059540666
GRB2,1211,1,0,0,0,0.0,,ENSG00000177885,0.229709142227642,0.9999742885708719,4.579327651495742
HBEGF,1146,2,0,0,0,0.0,,ENSG00000113070,0.7409047805697562,0.3183283926853597,1.3265130369299143
HGS,8137,31,3,0,0,0.0,,ENSG00000185359,0.7081016087370519,8.473769402967829e-11,0.9558527046684036
HRAS,1490,3,0,0,0,0.0,,ENSG00000174775,0.9181281074969462,0.013521208688865019,1.3833968235861807
KRAS,1235,6,0,0,0,0.0,,ENSG00000133703,0.22640258841339422,0.9998110879093616,3.2870516527786533
LRIG1,6867,25,7,0,0,0.0,,ENSG00000144749,0.6155983528257615,4.296502102306896e-05,-2.382687854397618
NRAS,992,4,0,0,0,0.0,,ENSG00000213281,0.5558272934013133,0.9316429369559026,2.477415489957644
PAG1,1875,7,0,0,0,0.0,,ENSG00000076641,1.0290639795817014,1.9601986149006994e-06,1.2422555933820272
PIK3CA,4715,25,1,0,0,0.0,,ENSG00000121879,0.2694577141767922,0.9999999999999996,8.751433431539786
PIK3R1,3793,15,1,0,0,0.0,,ENSG00000145675,0.40329027235815385,0.9999969213264422,3.9942228974745313
PLCG1,7165,15,2,0,0,0.0,,ENSG00000124181,0.48656368189691945,0.7209971026115483,4.415754039741225
PTPN11,3264,6,0,0,0,0.0,,ENSG00000179295,0.15029738459026243,0.9999999999999746,5.606563570757228
PTPN12,4837,10,3,0,0,0.0,,ENSG00000127947,0.40520809488765314,0.9999961191415112,1.4996797476222146
PTPN3,5810,29,3,0,0,0.0,,ENSG00000070159,0.8573256300179678,2.0725374476172152e-23,0.43309247913638993
PTPRK,8612,20,0,0,0,0.0,,ENSG00000152894,0.5105926905673355,0.020846193128661393,3.589251275879176
PXN,6677,6,2,0,0,0.0,,ENSG00000089159,0.7286356929036724,4.644704275433477e-11,2.0787058991381406
RPS27A,1164,4,0,0,0,0.0,,ENSG00000143947,0.2508106512643265,0.9994772412782389,2.0064693508886515
SH3GL1,3091,5,1,0,0,0.0,,ENSG00000141985,0.6192215338348457,0.11408275554395352,0.932291869995577
SH3GL2,2674,2,0,0,0,0.0,,ENSG00000107295,0.7333613709683771,0.0007962053638617704,0.2317247539609371
SH3GL3,2636,4,0,0,0,0.0,,ENSG00000140600,0.9241651158947142,2.955009592041968e-08,1.143782301459504
SH3KBP1,4684,9,0,0,0,0.0,,ENSG00000147010,0.28826987678097676,0.9999995044174003,2.9162897355332547
SHC1,3237,6,1,0,0,0.0,,ENSG00000160691,0.7278684010245464,7.009718134118915e-05,1.5621114819594002
SOS1,7171,20,0,0,0,0.0,,ENSG00000115904,0.22149453863804686,1.0,3.8619363696348095
SPRY1,907,1,0,0,0,0.0,,ENSG00000164056,1.2872032075099595,6.522016517125051e-07,-1.2624598418669772
SPRY2,751,2,1,0,0,0.0,,ENSG00000136158,0.7259245933081466,0.21889214183504518,1.1333245607895688
SRC,3682,4,0,0,0,0.0,,ENSG00000197122,0.32838319593349324,0.9999996277456413,4.403126408928964
STAM,3128,9,0,0,0,0.0,,ENSG00000136738,0.3831770603354409,0.9999883761842507,0.3511617802749536
STAM2,3137,9,0,0,0,0.0,,ENSG00000115145,0.9819794679698421,5.3650216713739255e-14,0.5802636589786501
TGFA,2140,2,0,0,0,0.0,,ENSG00000163235,0.8973332166357315,0.010006217213506764,0.9645893008116909
UBA52,785,2,0,0,0,0.0,,ENSG00000221983,0.30968076443324816,0.9968554314067314,2.6641982439663487
UBB,634,1,0,0,0,0.0,,ENSG00000170315,1.4541148457926918,0.00028184195671716395,5.309829254589754
UBC,1838,8,0,0,0,0.0,,ENSG00000150991,0.41645663287991347,0.9989164221539467,6.653194079224246
