symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,trials,n_trials,source,status,low_exp_lof,rate_syn,rate_mis,oe_syn,qc_syn_excess,tolerance,burden_v1,score_v1,rank_v1
HTR3D,ENSG00000186090,1.309823818432409,1.0271333456892175,6.525863692060873e-17,1.1156479093569338,47.0,45.75842094627207,448,506.8950090835803,203,199.8429337462288,2315.0,19.0,7.0,2.0,1.5787,RENZAPRIDE (NCT00607971),1,first_drug,,False,0.03502750819745758,0.013809565836237683,1.0157977377262697,False,0.6549119092162045,0.4980326299878333,0.3262,1
P2RX7,ENSG00000089041,1.070275568441513,0.86629234545434,1.058245320117435e-18,0.9739478616775388,62.0,71.56937300130843,686,748.4765646657347,299,283.3130715940073,3667.0,31.0,11.0,0.0,1.6516,CE-224535 (NCT00418782),1,first_drug,,False,0.03882630595937768,0.014696518928301431,1.055369589259448,False,0.5351377842207565,0.5520451857624484,0.2954,2
ADRA1A,ENSG00000120907,1.4141233759876264,1.047808498390128,1.2759670700031432e-11,-0.3118355792913164,31.0,29.58555885701343,619,601.0740580003005,311,254.30354920847145,2805.0,21.0,7.0,0.0,0.8042,TAMSULOSIN (NCT02518971),1,first_drug,,False,0.02752615927613964,0.011645819523950409,1.222947933554204,False,0.7070616879938132,0.3913759842829717,0.2767,3
OPRM1,ENSG00000112038,1.170970418800297,0.8491181093312046,1.2938485120585771e-08,-0.470390462671226,27.0,31.797696578708177,536,511.0661470179416,196,189.9070257838717,3753.0,21.0,6.0,2.0,0.7192,BUPRENORPHINE (NCT00270257),1,first_drug,,False,0.031594407712058244,0.01174016325481516,1.0320839852605694,False,0.5854852094001485,0.4492196783465847,0.263,4
HRH4,ENSG00000134489,1.870907163546231,1.1547283479663906,2.050569085435483e-05,0.7670957890396566,12.0,10.392054565156714,415,453.2941086933552,154,166.6404892428257,1219.0,2.0,2.0,0.0,0.1706,ADRIFORANT (NCT03517566),1,first_drug,,False,0.0120018850705943,0.004412146466595625,0.9241451504357612,False,0.9354535817731156,0.1706467486303707,0.1596,5
LTA,ENSG00000226979,0.7824824426617382,0.3964480493447209,0.38027653978416,2.0646427437317105,6.0,15.134391529778616,173,249.4607088188049,87,107.28468665603648,855.0,7.0,3.0,0.0,0.6726,BAMINERCEPT (NCT00458861),1,first_drug,,False,0.02796298421990313,0.01202594193773033,0.8109265423771908,False,0.3912412213308691,0.3975869049787981,0.1556,6
MYL7,ENSG00000106631,1.6576516014254956,1.2020303597202222,2.906365758375902e-11,0.5047432353782316,27.0,22.461995058331446,209,226.8240925195016,81,84.37625075716515,1774.0,4.0,1.0,0.0,0.0622,MAVACAMTEN (NCT05582395),1,first_drug,,False,0.011851676165109539,0.004408702747985306,0.9599857693738727,False,0.8288258007127478,0.16851102901753226,0.1397,7
MUC16,ENSG00000181143,0.8099446641092592,0.7581311336976987,2.2477254812521698e-155,-8.211260320935963,625.0,824.3956384585254,19911,17373.28349888556,7330,6661.973394748009,49618.0,349.0,135.0,0.0,23.321,ABAGOVOMAB (NCT00418574),1,first_drug,,False,0.020264265856484467,0.0077705518365978315,1.1002745831706011,False,0.4049723320546296,0.2881239956432341,0.1167,8
HTR3C,ENSG00000178084,1.061724605218599,0.7904431791594014,2.438400652766515e-09,0.6115983024753927,32.0,40.483618359551755,523,556.8394743569396,209,217.05022778356425,2219.0,8.0,3.0,0.0,0.9092,RENZAPRIDE (NCT00607971),1,first_drug,,False,0.013821685563912455,0.005387549083987839,0.9629107609525677,False,0.5308623026092995,0.19652127046707335,0.1043,9
AR,ENSG00000169083,0.2678959772318074,0.1484738362302068,0.9999999258965238,1.6192595365726652,8.0,53.88154710029921,639,742.453047918048,359,316.3942028570656,3156.0,20.0,17.0,0.0,0.6377,GALETERONE (NCT01709734); OXANDROLONE (NCT00101361); TESTOSTERONE (NCT02418572),3,first_drug,,False,0.05373044084401233,0.0228970707948073,1.1346604860588487,False,0.1339479886159037,0.7639570766238937,0.1023,10
S1PR3,ENSG00000213694,1.4588782418757773,0.9004231182333066,0.0001201796545671,0.987226913186252,12.0,13.32706786065738,450,501.8559827017402,232,214.04445205784648,2281.0,4.0,2.0,0.0,0.0558,FINGOLIMOD HYDROCHLORIDE (NCT00731692),1,first_drug,,False,0.009343853488244073,0.003985207049307265,1.0838870046363125,False,0.7294391209378887,0.13285398152612402,0.0969,11
